;duration;station_A_id;station_A_name;station_B_id;station_B_name;bike_id;user_type;user_birth_year;user_gender;tire_sizes;ride_date
44;2 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);80;Townsend St at 5th St;2193;2;1996;Female;28;7/11/2022
45;1 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);64;5th St at Brannan St;2436;2;1990;Female;30;5/12/2021
46;7 minutes;5;Powell St BART Station (Market St at 5th St);41;Golden Gate Ave at Polk St;3617;2;1989;Male;27;7/8/2021
47;8 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;626;1;1994;Male;28;18/2/2023
48;15 minutes;5;Powell St BART Station (Market St at 5th St);4;Cyril Magnin St at Ellis St;4719;1;1973;Male;25;17/4/2023
49;9 minutes;21;Montgomery St BART Station (Market St at 2nd St);81;Berry St at 4th St;2125;3;1991;Male;29;30/12/2022
50;11 minutes;21;Montgomery St BART Station (Market St at 2nd St);78;Folsom St at 9th St;5374;2;1999;Female;25;17/1/2023
51;16 minutes;22;Howard St at Beale St;350;8th St at Brannan St;1310;2;1987;Male;29;19/1/2022
52;13 minutes;21;Montgomery St BART Station (Market St at 2nd St);78;Folsom St at 9th St;2531;2;1999;Female;28;12/4/2023
53;14 minutes;21;Montgomery St BART Station (Market St at 2nd St);78;Folsom St at 9th St;1502;2;1998;Female;28;21/3/2022
54;12 minutes;21;Montgomery St BART Station (Market St at 2nd St);78;Folsom St at 9th St;1202;1;1999;Male;27;25/5/2022
55;11 minutes;21;Montgomery St BART Station (Market St at 2nd St);78;Folsom St at 9th St;377;2;1999;Male;29;18/11/2022
56;5 minutes;21;Montgomery St BART Station (Market St at 2nd St);27;Beale St at Harrison St;3711;3;1985;Male;30;22/11/2022
57;11 minutes;21;Montgomery St BART Station (Market St at 2nd St);61;Howard St at 8th St;2918;2;1999;Female;27;26/7/2023
58;10 minutes;81;Berry St at 4th St;6;The Embarcadero at Sansome St;5233;1;1987;Male;25;25/3/2023
59;10 minutes;21;Montgomery St BART Station (Market St at 2nd St);61;Howard St at 8th St;507;2;1998;Male;29;13/4/2022
60;10 minutes;21;Montgomery St BART Station (Market St at 2nd St);61;Howard St at 8th St;608;1;1999;Male;29;30/8/2021
61;8 minutes;21;Montgomery St BART Station (Market St at 2nd St);61;Howard St at 8th St;157;1;1999;Male;27;29/9/2021
62;4 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);28;The Embarcadero at Bryant St;4602;2;1991;Female;27;15/3/2023
63;5 minutes;21;Montgomery St BART Station (Market St at 2nd St);9;Broadway at Battery St;181;2;1967;Male;28;20/2/2022
64;10 minutes;21;Montgomery St BART Station (Market St at 2nd St);58;Market St at 10th St;3715;2;1999;Male;28;3/7/2023
65;10 minutes;16;Steuart St at Market St;93;4th St at Mission Bay Blvd S;5392;2;1986;Male;27;27/6/2022
66;5 minutes;30;San Francisco Caltrain (Townsend St at 4th St);28;The Embarcadero at Bryant St;1012;1;1991;Female;29;22/4/2023
67;19 minutes;5;Powell St BART Station (Market St at 5th St);70;Central Ave at Fell St;465;2;1989;Male;28;15/8/2022
68;19 minutes;3;Powell St BART Station (Market St at 4th St);55;Webster St at Grove St;3009;2;1992;Female;29;14/10/2021
69;20 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);377;Fell St at Stanyan St;5105;1;1992;Male;30;27/4/2022
70;38 minutes;21;Montgomery St BART Station (Market St at 2nd St);58;Market St at 10th St;5271;2;1988;Male;26;28/10/2021
71;9 minutes;16;Steuart St at Market St;93;4th St at Mission Bay Blvd S;5125;1;1988;Male;26;24/3/2023
72;13 minutes;5;Powell St BART Station (Market St at 5th St);370;Jones St at Post St;5373;2;1987;Male;30;17/2/2023
73;20 minutes;3;Powell St BART Station (Market St at 4th St);6;The Embarcadero at Sansome St;443;1;1985;Female;26;22/10/2021
74;5 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);90;Townsend St at 7th St;1920;2;1990;Male;25;16/4/2023
75;11 minutes;21;Montgomery St BART Station (Market St at 2nd St);58;Market St at 10th St;316;2;1999;Female;25;14/11/2021
76;18 minutes;22;Howard St at Beale St;72;Page St at Scott St;5162;2;1980;Female;25;5/10/2022
77;9 minutes;21;Montgomery St BART Station (Market St at 2nd St);64;5th St at Brannan St;1299;2;1996;Male;28;27/1/2022
78;15 minutes;16;Steuart St at Market St;90;Townsend St at 7th St;1547;2;1990;Female;29;11/10/2021
79;14 minutes;16;Steuart St at Market St;90;Townsend St at 7th St;3309;3;1990;Male;28;9/7/2023
80;22 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);365;Turk St at Fillmore St;3224;2;1986;Female;27;14/3/2022
81;3 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);90;Townsend St at 7th St;4799;2;1981;Male;26;26/9/2021
82;4 minutes;3;Powell St BART Station (Market St at 4th St);47;4th St at Harrison St;5458;3;1980;Male;26;2/3/2023
83;12 minutes;21;Montgomery St BART Station (Market St at 2nd St);67;San Francisco Caltrain Station 2  (Townsend St at 4th St);2568;2;1990;Male;27;21/2/2023
84;79 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);323;Broadway at Kearny;2684;1;1987;Male;25;12/11/2021
85;78 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);323;Broadway at Kearny;2030;2;1987;Male;30;5/2/2023
86;80 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);323;Broadway at Kearny;2086;2;1987;Male;25;8/4/2023
87;5 minutes;5;Powell St BART Station (Market St at 5th St);62;Victoria Manalo Draves Park;1315;2;1985;Male;28;9/1/2023
88;6 minutes;81;Berry St at 4th St;130;22nd St Caltrain Station;5224;2;1983;Female;30;21/4/2022
89;11 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;192;2;2000;Female;25;2/4/2022
90;7 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;1159;2;1986;Female;26;2/7/2022
91;7 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;1602;3;1988;Male;30;27/7/2023
92;22 minutes;21;Montgomery St BART Station (Market St at 2nd St);139;Garfield Square (25th St at Harrison St);4716;1;1975;Male;26;8/7/2023
93;9 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;1465;1;1999;Female;28;6/8/2021
94;9 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;685;1;1991;Female;28;10/11/2021
95;10 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;3109;1;2000;Female;27;25/10/2022
96;6 minutes;5;Powell St BART Station (Market St at 5th St);88;11th St at Bryant St;4383;2;1985;Male;26;18/2/2022
97;14 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);370;Jones St at Post St;4960;1;1988;Male;27;27/2/2023
98;18 minutes;16;Steuart St at Market St;116;Mississippi St at 17th St;5262;1;1989;Female;25;23/9/2022
99;14 minutes;21;Montgomery St BART Station (Market St at 2nd St);355;23rd St at Tennessee St;4996;1;1994;Male;25;21/4/2023
100;9 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);77;11th St at Natoma St;4799;2;1987;Male;28;8/3/2022
101;10 minutes;3;Powell St BART Station (Market St at 4th St);75;Market St at Franklin St;1959;2;1990;Male;28;6/11/2021
102;11 minutes;3;Powell St BART Station (Market St at 4th St);75;Market St at Franklin St;5222;2;1990;Male;28;27/8/2022
103;7 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);60;8th St at Ringold St;5047;3;1987;Male;26;12/4/2022
104;10 minutes;81;Berry St at 4th St;345;Hubbell St at 16th St;2499;2;1988;Male;27;1/11/2022
105;19 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);52;McAllister St at Baker St;5518;2;1993;Male;27;30/12/2022
106;6 minutes;3;Powell St BART Station (Market St at 4th St);16;Steuart St at Market St;955;2;1998;Male;27;14/3/2022
107;5 minutes;3;Powell St BART Station (Market St at 4th St);16;Steuart St at Market St;593;2;2000;Female;29;29/6/2022
108;6 minutes;3;Powell St BART Station (Market St at 4th St);16;Steuart St at Market St;1514;2;2000;Male;26;25/12/2022
109;9 minutes;5;Powell St BART Station (Market St at 5th St);81;Berry St at 4th St;5224;2;1990;Female;29;25/6/2023
110;8 minutes;5;Powell St BART Station (Market St at 5th St);55;Webster St at Grove St;5528;2;1996;Male;30;14/8/2021
111;9 minutes;5;Powell St BART Station (Market St at 5th St);76;McCoppin St at Valencia St;4574;2;1977;Male;30;5/3/2022
112;6 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;2152;2;2000;Male;29;26/3/2022
113;8 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);58;Market St at 10th St;5070;2;1987;Male;25;31/10/2022
114;19 minutes;3;Powell St BART Station (Market St at 4th St);121;Mission Playground;3491;3;1961;Male;30;21/6/2023
115;4 minutes;81;Berry St at 4th St;93;4th St at Mission Bay Blvd S;223;1;1988;Male;28;24/8/2021
116;3 minutes;3;Powell St BART Station (Market St at 4th St);21;Montgomery St BART Station (Market St at 2nd St);2568;2;1988;Male;27;11/12/2021
117;8 minutes;5;Powell St BART Station (Market St at 5th St);47;4th St at Harrison St;5474;2;1997;Female;25;7/12/2021
118;3 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);321;5th St at Folsom;5245;1;1989;Male;28;7/11/2021
119;19 minutes;16;Steuart St at Market St;85;Church St at Duboce Ave;4814;1;1970;Male;26;2/4/2023
120;16 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);112;Harrison St at 17th St;5546;2;1977;Female;28;7/10/2022
121;20 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);72;Page St at Scott St;1122;3;1979;Male;30;26/5/2022
122;27 minutes;22;Howard St at Beale St;345;Hubbell St at 16th St;5294;1;1983;Female;25;20/4/2022
123;5 minutes;21;Montgomery St BART Station (Market St at 2nd St);23;The Embarcadero at Steuart St;4924;2;1992;Male;25;16/1/2023
124;16 minutes;22;Howard St at Beale St;125;20th St at Bryant St;4942;3;1958;Male;27;25/3/2023
125;12 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);74;Laguna St at Hayes St;5253;1;1981;Male;25;8/9/2021
126;10 minutes;81;Berry St at 4th St;321;5th St at Folsom;4832;1;1996;Male;26;22/4/2022
127;25 minutes;3;Powell St BART Station (Market St at 4th St);134;Valencia St at 24th St;2738;2;1986;Female;26;17/6/2023
128;9 minutes;5;Powell St BART Station (Market St at 5th St);73;Pierce St at Haight St;4414;3;1995;Female;28;13/5/2022
129;11 minutes;16;Steuart St at Market St;6;The Embarcadero at Sansome St;5427;1;1969;Male;26;23/1/2022
130;9 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);75;Market St at Franklin St;6235;2;1986;Male;30;31/8/2021
131;14 minutes;3;Powell St BART Station (Market St at 4th St);223;16th St Mission BART Station 2;5570;2;1962;Other;28;28/8/2021
132;14 minutes;3;Powell St BART Station (Market St at 4th St);223;16th St Mission BART Station 2;5328;3;1989;Female;29;6/7/2023
133;11 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);33;Golden Gate Ave at Hyde St;5571;2;1988;Male;30;9/9/2022
134;16 minutes;22;Howard St at Beale St;115;Jackson Playground;5332;2;1982;Male;30;22/1/2023
135;5 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);5;Powell St BART Station (Market St at 5th St);4574;2;1979;Male;26;4/3/2022
136;14 minutes;22;Howard St at Beale St;114;Rhode Island St at 17th St;5445;3;1994;Male;26;18/12/2021
137;10 minutes;16;Steuart St at Market St;92;Mission Bay Kids Park;4413;2;1978;Male;29;24/8/2022
138;9 minutes;16;Steuart St at Market St;92;Mission Bay Kids Park;5392;3;1988;Male;25;6/12/2021
139;17 minutes;22;Howard St at Beale St;356;Valencia St at Clinton Park;5325;1;1995;Male;28;16/10/2021
140;10 minutes;30;San Francisco Caltrain (Townsend St at 4th St);58;Market St at 10th St;5222;3;1995;Male;30;25/9/2022
141;24 minutes;21;Montgomery St BART Station (Market St at 2nd St);21;Montgomery St BART Station (Market St at 2nd St);5353;1;1965;Male;30;16/4/2022
142;8 minutes;5;Powell St BART Station (Market St at 5th St);74;Laguna St at Hayes St;4968;2;1993;Female;26;14/3/2022
143;6 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);37;2nd St at Folsom St;5526;3;1975;Male;28;14/6/2023
144;18 minutes;21;Montgomery St BART Station (Market St at 2nd St);134;Valencia St at 24th St;5485;3;1986;Other;29;20/2/2023
145;9 minutes;21;Montgomery St BART Station (Market St at 2nd St);343;Bryant St at 2nd St;3397;2;1992;Female;29;23/11/2022
146;11 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);9;Broadway at Battery St;4728;3;1991;Female;28;9/3/2022
147;14 minutes;5;Powell St BART Station (Market St at 5th St);126;Esprit Park;1338;1;1984;Male;26;1/5/2023
148;13 minutes;21;Montgomery St BART Station (Market St at 2nd St);86;Market St at Dolores St;4426;1;1987;Male;30;5/2/2023
149;17 minutes;3;Powell St BART Station (Market St at 4th St);85;Church St at Duboce Ave;149;3;1984;Male;29;15/1/2023
150;5 minutes;16;Steuart St at Market St;10;Washington St at Kearny St;3554;2;1989;Male;30;3/12/2022
151;6 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;4319;1;1992;Male;29;2/2/2023
152;5 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);101;15th St at Potrero Ave;5494;2;1994;Male;28;22/2/2023
153;32 minutes;21;Montgomery St BART Station (Market St at 2nd St);4;Cyril Magnin St at Ellis St;5027;3;1975;Male;25;3/7/2022
154;10 minutes;3;Powell St BART Station (Market St at 4th St);55;Webster St at Grove St;5229;1;1991;Male;28;7/10/2022
155;13 minutes;30;San Francisco Caltrain (Townsend St at 4th St);136;23rd St at San Bruno Ave;5574;2;1980;Female;30;1/8/2022
156;11 minutes;3;Powell St BART Station (Market St at 4th St);364;China Basin St at 3rd St;4748;1;1996;Male;25;16/7/2023
157;6 minutes;81;Berry St at 4th St;49;S Park St at 3rd St;3711;2;1978;Male;25;15/6/2023
158;6 minutes;16;Steuart St at Market St;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);6235;3;1967;Male;28;11/8/2022
159;13 minutes;30;San Francisco Caltrain (Townsend St at 4th St);33;Golden Gate Ave at Hyde St;967;2;1983;Male;30;29/12/2022
160;21 minutes;81;Berry St at 4th St;55;Webster St at Grove St;4969;2;1969;Female;29;13/5/2022
161;7 minutes;5;Powell St BART Station (Market St at 5th St);43;San Francisco Public Library (Grove St at Hyde St);5530;3;1990;Female;30;6/12/2021
162;18 minutes;5;Powell St BART Station (Market St at 5th St);355;23rd St at Tennessee St;5535;3;1993;Male;26;26/8/2021
163;19 minutes;5;Powell St BART Station (Market St at 5th St);355;23rd St at Tennessee St;4344;1;1991;Female;25;15/4/2023
164;13 minutes;22;Howard St at Beale St;345;Hubbell St at 16th St;3616;1;1991;Male;30;18/9/2022
165;10 minutes;81;Berry St at 4th St;15;San Francisco Ferry Building (Harry Bridges Plaza);3108;1;1992;Male;30;18/1/2022
166;1 minutes;3;Powell St BART Station (Market St at 4th St);3;Powell St BART Station (Market St at 4th St);4319;2;1991;Male;25;2/7/2023
167;8 minutes;30;San Francisco Caltrain (Townsend St at 4th St);5;Powell St BART Station (Market St at 5th St);4968;2;1993;Female;26;30/5/2023
168;3 minutes;22;Howard St at Beale St;27;Beale St at Harrison St;1718;2;1986;Male;28;1/7/2023
169;8 minutes;22;Howard St at Beale St;4;Cyril Magnin St at Ellis St;1475;2;1994;Other;28;30/10/2021
170;8 minutes;21;Montgomery St BART Station (Market St at 2nd St);58;Market St at 10th St;5253;1;1988;Other;28;30/12/2022
171;6 minutes;30;San Francisco Caltrain (Townsend St at 4th St);27;Beale St at Harrison St;5114;3;1993;Male;28;30/11/2021
172;11 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);90;Townsend St at 7th St;3432;2;1988;Male;27;9/1/2022
173;12 minutes;5;Powell St BART Station (Market St at 5th St);53;Grove St at Divisadero;4778;1;1994;Male;25;10/9/2021
174;9 minutes;81;Berry St at 4th St;3;Powell St BART Station (Market St at 4th St);2738;1;1993;Female;30;6/7/2023
175;12 minutes;81;Berry St at 4th St;130;22nd St Caltrain Station;1565;3;1992;Female;27;26/5/2022
176;4 minutes;21;Montgomery St BART Station (Market St at 2nd St);11;Davis St at Jackson St;5307;3;1987;Female;25;13/4/2022
177;16 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);55;Webster St at Grove St;4953;1;1992;Female;28;28/7/2022
178;14 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);74;Laguna St at Hayes St;4347;3;1988;Male;28;17/4/2022
179;8 minutes;22;Howard St at Beale St;323;Broadway at Kearny;5359;3;1985;Male;29;20/1/2023
180;18 minutes;5;Powell St BART Station (Market St at 5th St);109;17th St at Valencia St;4320;1;1980;Male;30;12/6/2023
181;11 minutes;22;Howard St at Beale St;104;4th St at 16th St;2473;3;1982;Male;28;11/4/2022
182;6 minutes;22;Howard St at Beale St;47;4th St at Harrison St;3225;1;1986;Male;27;7/11/2021
183;6 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);100;Bryant St at 15th St;4658;2;1989;Male;28;24/9/2022
184;19 minutes;5;Powell St BART Station (Market St at 5th St);144;Precita Park;4553;1;1994;Female;30;18/1/2022
185;19 minutes;22;Howard St at Beale St;116;Mississippi St at 17th St;2564;2;1970;Male;30;29/8/2022
186;9 minutes;30;San Francisco Caltrain (Townsend St at 4th St);284;Yerba Buena Center for the Arts (Howard St at 3rd St);4982;3;1985;Female;30;25/12/2022
187;9 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);26;1st St at Folsom St;5110;1;1948;Male;26;10/11/2021
188;2 minutes;81;Berry St at 4th St;93;4th St at Mission Bay Blvd S;5549;2;1993;Male;28;2/2/2022
189;14 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);93;4th St at Mission Bay Blvd S;411;1;1989;Male;25;1/8/2022
190;18 minutes;22;Howard St at Beale St;115;Jackson Playground;5407;3;1986;Male;26;3/9/2021
191;15 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);87;Folsom St at 13th St;5282;2;1990;Male;29;17/1/2022
192;10 minutes;22;Howard St at Beale St;66;3rd St at Townsend St;5438;3;1990;Female;28;28/11/2021
193;5 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);62;Victoria Manalo Draves Park;5381;2;1990;Female;26;15/12/2021
194;6 minutes;3;Powell St BART Station (Market St at 4th St);42;San Francisco City Hall (Polk St at Grove St);2550;2;1979;Male;25;27/4/2022
195;5 minutes;16;Steuart St at Market St;27;Beale St at Harrison St;643;1;1981;Male;26;9/3/2023
196;12 minutes;21;Montgomery St BART Station (Market St at 2nd St);76;McCoppin St at Valencia St;4609;2;1993;Male;25;19/12/2022
197;17 minutes;5;Powell St BART Station (Market St at 5th St);142;Guerrero Park;4928;2;1993;Male;25;31/8/2021
198;8 minutes;21;Montgomery St BART Station (Market St at 2nd St);323;Broadway at Kearny;2113;2;1987;Male;25;10/3/2023
199;8 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);78;Folsom St at 9th St;5550;3;1994;Male;26;27/5/2023
200;9 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);81;Berry St at 4th St;4969;2;1975;Male;25;16/3/2022
201;4 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);90;Townsend St at 7th St;3109;1;1982;Male;30;24/7/2023
202;22 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);97;14th St at Mission St;5423;3;1993;Male;29;26/8/2021
203;23 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);97;14th St at Mission St;5226;2;1981;Male;26;12/3/2022
204;23 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);97;14th St at Mission St;4820;2;1993;Male;25;1/8/2021
205;5 minutes;30;San Francisco Caltrain (Townsend St at 4th St);350;8th St at Brannan St;1396;2;1997;Male;25;30/10/2021
206;17 minutes;30;San Francisco Caltrain (Townsend St at 4th St);371;Lombard St at Columbus Ave;5051;2;1984;Male;27;12/8/2021
207;14 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);116;Mississippi St at 17th St;5463;3;1988;Female;26;29/11/2021
208;6 minutes;21;Montgomery St BART Station (Market St at 2nd St);50;2nd St at Townsend St;4716;2;1984;Male;27;6/3/2022
209;6 minutes;81;Berry St at 4th St;116;Mississippi St at 17th St;4768;2;1988;Male;29;22/8/2022
210;5 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);5;Powell St BART Station (Market St at 5th St);4344;2;1984;Female;28;31/5/2023
211;15 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);76;McCoppin St at Valencia St;4601;2;1985;Female;29;25/2/2022
212;13 minutes;81;Berry St at 4th St;6;The Embarcadero at Sansome St;4613;2;1981;Male;26;22/1/2022
213;3 minutes;22;Howard St at Beale St;284;Yerba Buena Center for the Arts (Howard St at 3rd St);1514;1;1994;Male;25;21/9/2021
214;8 minutes;30;San Francisco Caltrain (Townsend St at 4th St);60;8th St at Ringold St;2174;2;1979;Male;25;8/2/2022
215;14 minutes;21;Montgomery St BART Station (Market St at 2nd St);30;San Francisco Caltrain (Townsend St at 4th St);967;1;1987;Male;25;21/1/2022
216;3 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);91;Berry St at King St;4780;2;1982;Male;28;27/1/2023
217;3 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);350;8th St at Brannan St;4426;2;1988;Male;26;8/6/2023
218;2 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);79;7th St at Brannan St;5458;2;1975;Male;28;19/3/2023
219;14 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);109;17th St at Valencia St;5029;1;1988;Female;27;23/6/2022
220;10 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);30;San Francisco Caltrain (Townsend St at 4th St);2960;2;1991;Female;27;14/9/2022
