;duration;station_A_id;station_A_name;station_B_id;station_B_name;bike_id;user_type;user_birth_year;user_gender;tire_sizes
94;9 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;685;1;1991;Female;28
95;10 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;3109;1;2000;Female;27
96;6 minutes;5;Powell St BART Station (Market St at 5th St);88;11th St at Bryant St;4383;2;1985;Male;26
97;14 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);370;Jones St at Post St;4960;1;1988;Male;27
98;18 minutes;16;Steuart St at Market St;116;Mississippi St at 17th St;5262;1;1989;Female;25
99;14 minutes;21;Montgomery St BART Station (Market St at 2nd St);355;23rd St at Tennessee St;4996;1;1994;Male;25
100;9 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);77;11th St at Natoma St;4799;2;1987;Male;28
101;10 minutes;3;Powell St BART Station (Market St at 4th St);75;Market St at Franklin St;1959;2;1990;Male;28
102;11 minutes;3;Powell St BART Station (Market St at 4th St);75;Market St at Franklin St;5222;2;1990;Male;28
103;7 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);60;8th St at Ringold St;5047;3;1987;Male;26
104;10 minutes;81;Berry St at 4th St;345;Hubbell St at 16th St;2499;2;1988;Male;27
105;19 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);52;McAllister St at Baker St;5518;2;1993;Male;27
106;6 minutes;3;Powell St BART Station (Market St at 4th St);16;Steuart St at Market St;955;2;1998;Male;27
107;5 minutes;3;Powell St BART Station (Market St at 4th St);16;Steuart St at Market St;593;2;2000;Female;29
108;6 minutes;3;Powell St BART Station (Market St at 4th St);16;Steuart St at Market St;1514;2;2000;Male;26
109;9 minutes;5;Powell St BART Station (Market St at 5th St);81;Berry St at 4th St;5224;2;1990;Female;29
110;8 minutes;5;Powell St BART Station (Market St at 5th St);55;Webster St at Grove St;5528;2;1996;Male;30
111;9 minutes;5;Powell St BART Station (Market St at 5th St);76;McCoppin St at Valencia St;4574;2;1977;Male;30
112;6 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;2152;2;2000;Male;29
113;8 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);58;Market St at 10th St;5070;2;1987;Male;25
114;19 minutes;3;Powell St BART Station (Market St at 4th St);121;Mission Playground;3491;3;1961;Male;30
115;4 minutes;81;Berry St at 4th St;93;4th St at Mission Bay Blvd S;223;1;1988;Male;28
116;3 minutes;3;Powell St BART Station (Market St at 4th St);21;Montgomery St BART Station (Market St at 2nd St);2568;2;1988;Male;27
117;8 minutes;5;Powell St BART Station (Market St at 5th St);47;4th St at Harrison St;5474;2;1997;Female;25
118;3 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);321;5th St at Folsom;5245;1;1989;Male;28
119;19 minutes;16;Steuart St at Market St;85;Church St at Duboce Ave;4814;1;1970;Male;26
120;16 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);112;Harrison St at 17th St;5546;2;1977;Female;28
121;20 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);72;Page St at Scott St;1122;3;1979;Male;30
122;27 minutes;22;Howard St at Beale St;345;Hubbell St at 16th St;5294;1;1983;Female;25
123;5 minutes;21;Montgomery St BART Station (Market St at 2nd St);23;The Embarcadero at Steuart St;4924;2;1992;Male;25
124;16 minutes;22;Howard St at Beale St;125;20th St at Bryant St;4942;3;1958;Male;27
125;12 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);74;Laguna St at Hayes St;5253;1;1981;Male;25
126;10 minutes;81;Berry St at 4th St;321;5th St at Folsom;4832;1;1996;Male;26
127;25 minutes;3;Powell St BART Station (Market St at 4th St);134;Valencia St at 24th St;2738;2;1986;Female;26
128;9 minutes;5;Powell St BART Station (Market St at 5th St);73;Pierce St at Haight St;4414;3;1995;Female;28
129;11 minutes;16;Steuart St at Market St;6;The Embarcadero at Sansome St;5427;1;1969;Male;26
130;9 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);75;Market St at Franklin St;6235;2;1986;Male;30
131;14 minutes;3;Powell St BART Station (Market St at 4th St);223;16th St Mission BART Station 2;5570;2;1962;Other;28
132;14 minutes;3;Powell St BART Station (Market St at 4th St);223;16th St Mission BART Station 2;5328;3;1989;Female;29
133;11 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);33;Golden Gate Ave at Hyde St;5571;2;1988;Male;30
134;16 minutes;22;Howard St at Beale St;115;Jackson Playground;5332;2;1982;Male;30
135;5 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);5;Powell St BART Station (Market St at 5th St);4574;2;1979;Male;26
136;14 minutes;22;Howard St at Beale St;114;Rhode Island St at 17th St;5445;3;1994;Male;26
137;10 minutes;16;Steuart St at Market St;92;Mission Bay Kids Park;4413;2;1978;Male;29
138;9 minutes;16;Steuart St at Market St;92;Mission Bay Kids Park;5392;3;1988;Male;25
139;17 minutes;22;Howard St at Beale St;356;Valencia St at Clinton Park;5325;1;1995;Male;28
140;10 minutes;30;San Francisco Caltrain (Townsend St at 4th St);58;Market St at 10th St;5222;3;1995;Male;30
141;24 minutes;21;Montgomery St BART Station (Market St at 2nd St);21;Montgomery St BART Station (Market St at 2nd St);5353;1;1965;Male;30
142;8 minutes;5;Powell St BART Station (Market St at 5th St);74;Laguna St at Hayes St;4968;2;1993;Female;26
143;6 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);37;2nd St at Folsom St;5526;3;1975;Male;28
144;18 minutes;21;Montgomery St BART Station (Market St at 2nd St);134;Valencia St at 24th St;5485;3;1986;Other;29
145;9 minutes;21;Montgomery St BART Station (Market St at 2nd St);343;Bryant St at 2nd St;3397;2;1992;Female;29
146;11 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);9;Broadway at Battery St;4728;3;1991;Female;28
147;14 minutes;5;Powell St BART Station (Market St at 5th St);126;Esprit Park;1338;1;1984;Male;26
148;13 minutes;21;Montgomery St BART Station (Market St at 2nd St);86;Market St at Dolores St;4426;1;1987;Male;30
149;17 minutes;3;Powell St BART Station (Market St at 4th St);85;Church St at Duboce Ave;149;3;1984;Male;29
150;5 minutes;16;Steuart St at Market St;10;Washington St at Kearny St;3554;2;1989;Male;30
151;6 minutes;3;Powell St BART Station (Market St at 4th St);58;Market St at 10th St;4319;1;1992;Male;29
152;5 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);101;15th St at Potrero Ave;5494;2;1994;Male;28
153;32 minutes;21;Montgomery St BART Station (Market St at 2nd St);4;Cyril Magnin St at Ellis St;5027;3;1975;Male;25
154;10 minutes;3;Powell St BART Station (Market St at 4th St);55;Webster St at Grove St;5229;1;1991;Male;28
155;13 minutes;30;San Francisco Caltrain (Townsend St at 4th St);136;23rd St at San Bruno Ave;5574;2;1980;Female;30
156;11 minutes;3;Powell St BART Station (Market St at 4th St);364;China Basin St at 3rd St;4748;1;1996;Male;25
157;6 minutes;81;Berry St at 4th St;49;S Park St at 3rd St;3711;2;1978;Male;25
158;6 minutes;16;Steuart St at Market St;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);6235;3;1967;Male;28
159;13 minutes;30;San Francisco Caltrain (Townsend St at 4th St);33;Golden Gate Ave at Hyde St;967;2;1983;Male;30
160;21 minutes;81;Berry St at 4th St;55;Webster St at Grove St;4969;2;1969;Female;29
161;7 minutes;5;Powell St BART Station (Market St at 5th St);43;San Francisco Public Library (Grove St at Hyde St);5530;3;1990;Female;30
162;18 minutes;5;Powell St BART Station (Market St at 5th St);355;23rd St at Tennessee St;5535;3;1993;Male;26
163;19 minutes;5;Powell St BART Station (Market St at 5th St);355;23rd St at Tennessee St;4344;1;1991;Female;25
164;13 minutes;22;Howard St at Beale St;345;Hubbell St at 16th St;3616;1;1991;Male;30
165;10 minutes;81;Berry St at 4th St;15;San Francisco Ferry Building (Harry Bridges Plaza);3108;1;1992;Male;30
166;1 minutes;3;Powell St BART Station (Market St at 4th St);3;Powell St BART Station (Market St at 4th St);4319;2;1991;Male;25
167;8 minutes;30;San Francisco Caltrain (Townsend St at 4th St);5;Powell St BART Station (Market St at 5th St);4968;2;1993;Female;26
168;3 minutes;22;Howard St at Beale St;27;Beale St at Harrison St;1718;2;1986;Male;28
169;8 minutes;22;Howard St at Beale St;4;Cyril Magnin St at Ellis St;1475;2;1994;Other;28
170;8 minutes;21;Montgomery St BART Station (Market St at 2nd St);58;Market St at 10th St;5253;1;1988;Other;28
171;6 minutes;30;San Francisco Caltrain (Townsend St at 4th St);27;Beale St at Harrison St;5114;3;1993;Male;28
172;11 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);90;Townsend St at 7th St;3432;2;1988;Male;27
173;12 minutes;5;Powell St BART Station (Market St at 5th St);53;Grove St at Divisadero;4778;1;1994;Male;25
174;9 minutes;81;Berry St at 4th St;3;Powell St BART Station (Market St at 4th St);2738;1;1993;Female;30
175;12 minutes;81;Berry St at 4th St;130;22nd St Caltrain Station;1565;3;1992;Female;27
176;4 minutes;21;Montgomery St BART Station (Market St at 2nd St);11;Davis St at Jackson St;5307;3;1987;Female;25
177;16 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);55;Webster St at Grove St;4953;1;1992;Female;28
178;14 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);74;Laguna St at Hayes St;4347;3;1988;Male;28
179;8 minutes;22;Howard St at Beale St;323;Broadway at Kearny;5359;3;1985;Male;29
180;18 minutes;5;Powell St BART Station (Market St at 5th St);109;17th St at Valencia St;4320;1;1980;Male;30
181;11 minutes;22;Howard St at Beale St;104;4th St at 16th St;2473;3;1982;Male;28
182;6 minutes;22;Howard St at Beale St;47;4th St at Harrison St;3225;1;1986;Male;27
183;6 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);100;Bryant St at 15th St;4658;2;1989;Male;28
184;19 minutes;5;Powell St BART Station (Market St at 5th St);144;Precita Park;4553;1;1994;Female;30
185;19 minutes;22;Howard St at Beale St;116;Mississippi St at 17th St;2564;2;1970;Male;30
186;9 minutes;30;San Francisco Caltrain (Townsend St at 4th St);284;Yerba Buena Center for the Arts (Howard St at 3rd St);4982;3;1985;Female;30
187;9 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);26;1st St at Folsom St;5110;1;1948;Male;26
188;2 minutes;81;Berry St at 4th St;93;4th St at Mission Bay Blvd S;5549;2;1993;Male;28
189;14 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);93;4th St at Mission Bay Blvd S;411;1;1989;Male;25
190;18 minutes;22;Howard St at Beale St;115;Jackson Playground;5407;3;1986;Male;26
191;15 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);87;Folsom St at 13th St;5282;2;1990;Male;29
192;10 minutes;22;Howard St at Beale St;66;3rd St at Townsend St;5438;3;1990;Female;28
193;5 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);62;Victoria Manalo Draves Park;5381;2;1990;Female;26
194;6 minutes;3;Powell St BART Station (Market St at 4th St);42;San Francisco City Hall (Polk St at Grove St);2550;2;1979;Male;25
195;5 minutes;16;Steuart St at Market St;27;Beale St at Harrison St;643;1;1981;Male;26
196;12 minutes;21;Montgomery St BART Station (Market St at 2nd St);76;McCoppin St at Valencia St;4609;2;1993;Male;25
197;17 minutes;5;Powell St BART Station (Market St at 5th St);142;Guerrero Park;4928;2;1993;Male;25
198;8 minutes;21;Montgomery St BART Station (Market St at 2nd St);323;Broadway at Kearny;2113;2;1987;Male;25
199;8 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);78;Folsom St at 9th St;5550;3;1994;Male;26
200;9 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);81;Berry St at 4th St;4969;2;1975;Male;25
201;4 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);90;Townsend St at 7th St;3109;1;1982;Male;30
202;22 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);97;14th St at Mission St;5423;3;1993;Male;29
203;23 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);97;14th St at Mission St;5226;2;1981;Male;26
204;23 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);97;14th St at Mission St;4820;2;1993;Male;25
205;5 minutes;30;San Francisco Caltrain (Townsend St at 4th St);350;8th St at Brannan St;1396;2;1997;Male;25
206;17 minutes;30;San Francisco Caltrain (Townsend St at 4th St);371;Lombard St at Columbus Ave;5051;2;1984;Male;27
207;14 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);116;Mississippi St at 17th St;5463;3;1988;Female;26
208;6 minutes;21;Montgomery St BART Station (Market St at 2nd St);50;2nd St at Townsend St;4716;2;1984;Male;27
209;6 minutes;81;Berry St at 4th St;116;Mississippi St at 17th St;4768;2;1988;Male;29
210;5 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);5;Powell St BART Station (Market St at 5th St);4344;2;1984;Female;28
211;15 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);76;McCoppin St at Valencia St;4601;2;1985;Female;29
212;13 minutes;81;Berry St at 4th St;6;The Embarcadero at Sansome St;4613;2;1981;Male;26
213;3 minutes;22;Howard St at Beale St;284;Yerba Buena Center for the Arts (Howard St at 3rd St);1514;1;1994;Male;25
214;8 minutes;30;San Francisco Caltrain (Townsend St at 4th St);60;8th St at Ringold St;2174;2;1979;Male;25
215;14 minutes;21;Montgomery St BART Station (Market St at 2nd St);30;San Francisco Caltrain (Townsend St at 4th St);967;1;1987;Male;25
216;3 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);91;Berry St at King St;4780;2;1982;Male;28
217;3 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);350;8th St at Brannan St;4426;2;1988;Male;26
218;2 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);79;7th St at Brannan St;5458;2;1975;Male;28
219;14 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);109;17th St at Valencia St;5029;1;1988;Female;27
220;10 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);30;San Francisco Caltrain (Townsend St at 4th St);2960;2;1991;Female;27
221;7 minutes;3;Powell St BART Station (Market St at 4th St);19;Post St at Kearny St;5570;2;1995;Male;25
222;11 minutes;21;Montgomery St BART Station (Market St at 2nd St);364;China Basin St at 3rd St;2481;2;1989;Male;28
223;19 minutes;21;Montgomery St BART Station (Market St at 2nd St);355;23rd St at Tennessee St;2238;3;1984;Male;29
224;5 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);90;Townsend St at 7th St;5561;3;1988;Male;28
225;9 minutes;81;Berry St at 4th St;15;San Francisco Ferry Building (Harry Bridges Plaza);4969;3;1978;Male;25
226;7 minutes;81;Berry St at 4th St;27;Beale St at Harrison St;4574;2;1992;Male;27
227;26 minutes;22;Howard St at Beale St;120;Mission Dolores Park;3053;2;1987;Female;28
228;7 minutes;22;Howard St at Beale St;284;Yerba Buena Center for the Arts (Howard St at 3rd St);4655;2;1986;Female;28
229;4 minutes;3;Powell St BART Station (Market St at 4th St);5;Powell St BART Station (Market St at 5th St);1126;3;1994;Female;25
230;7 minutes;3;Powell St BART Station (Market St at 4th St);14;Clay St at Battery St;160;1;1979;Male;29
231;8 minutes;30;San Francisco Caltrain (Townsend St at 4th St);61;Howard St at 8th St;491;2;1991;Male;26
232;14 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);10;Washington St at Kearny St;5007;2;1984;Male;30
233;9 minutes;3;Powell St BART Station (Market St at 4th St);350;8th St at Brannan St;4390;2;1986;Male;25
234;9 minutes;15;San Francisco Ferry Building (Harry Bridges Plaza);66;3rd St at Townsend St;5230;2;1984;Male;28
235;10 minutes;21;Montgomery St BART Station (Market St at 2nd St);30;San Francisco Caltrain (Townsend St at 4th St);3681;2;1979;Male;25
236;6 minutes;16;Steuart St at Market St;323;Broadway at Kearny;5229;3;1976;Other;25
237;6 minutes;81;Berry St at 4th St;23;The Embarcadero at Steuart St;5549;2;1992;Male;29
238;9 minutes;5;Powell St BART Station (Market St at 5th St);78;Folsom St at 9th St;5538;2;1989;Male;25
239;26 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);371;Lombard St at Columbus Ave;5396;2;1989;Male;26
240;5 minutes;5;Powell St BART Station (Market St at 5th St);21;Montgomery St BART Station (Market St at 2nd St);4716;1;1999;Male;26
241;4 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);321;5th St at Folsom;4934;2;1993;Female;25
242;3 minutes;5;Powell St BART Station (Market St at 5th St);321;5th St at Folsom;3208;3;1984;Male;26
243;13 minutes;3;Powell St BART Station (Market St at 4th St);112;Harrison St at 17th St;5228;2;1989;Male;26
244;19 minutes;81;Berry St at 4th St;131;22nd St at Dolores St;4611;3;1982;Male;27
245;9 minutes;16;Steuart St at Market St;324;Union Square (Powell St at Post St);2147;2;1990;Other;27
246;15 minutes;30;San Francisco Caltrain (Townsend St at 4th St);10;Washington St at Kearny St;4980;2;1992;Female;29
247;20 minutes;67;San Francisco Caltrain Station 2  (Townsend St at 4th St);39;Scott St at Golden Gate Ave;5566;3;1992;Male;26
